name,untargeted?,zhel,Tmax(MJD),e(Tmax),sBV,e(sBV),EBV_MW,spec_counts,filename,Date,MJD,epoch,EXPTOT,SNRY,SNRJ,SNRH,SNRH,SNRK,host_contamination
ASASSN-14ad,untargeted,0.0264,56692.7,0.5,1.013,0.04,0.016,6,ASAS14ad_20140208_fire,2014-02-08,56696.4,3.608522243,570.6,12.3,13.2,10.1,10.1,7.7,No
ASASSN-14ad,untargeted,0.0264,56692.7,0.5,1.013,0.04,0.016,6,ASAS14ad_20140215_fire,2014-02-15,56703.39,10.41482686,1141.2,4.8,2.4,2.4,2.4,2.3,No
ASASSN-14ad,untargeted,0.0264,56692.7,0.5,1.013,0.04,0.016,6,ASAS14ad_20140222_fire,2014-02-22,56710.32,17.16277917,380.4,15.5,6.2,7.8,7.8,4.5,No
ASASSN-14ad,untargeted,0.0264,56692.7,0.5,1.013,0.04,0.016,6,ASAS14ad_20140227_fire,2014-02-27,56715.31,22.02472239,1014.4,23,10.3,12.8,12.8,7.9,No
ASASSN-14ad,untargeted,0.0264,56692.7,0.5,1.013,0.04,0.016,6,ASAS14ad_20140310_fire,2014-03-10,56726.23,32.66766226,1014.4,35.9,21.1,16.5,16.5,7.8,No
ASASSN-14ad,untargeted,0.0264,56692.7,0.5,1.013,0.04,0.016,6,ASAS14ad_20140325_fire,2014-03-25,56741.25,47.30053742,1521.6,21.6,8.6,8.3,8.3,4.3,No
ASASSN-14hp,untargeted,0.0389,56929.53,0.06,1.077,0.041,0.03,1,ASAS14hp_20141105_fire,2014-11-05,56966.13,35.23399122,1521.6,15.4,7.8,5.5,5.5,3.2,No
ASASSN-14hu,untargeted,0.0216,56935.24,0.04,1.05,0.041,0.061,2,ASAS14hu_20141105_fire,2014-11-05,56966.3,30.40193214,2028.8,38.5,16.4,15.3,15.3,9.9,No
ASASSN-14hu,untargeted,0.0216,56935.24,0.04,1.05,0.041,0.061,2,ASAS14hu_20141208_fire,2014-12-08,56999.08,62.49171245,1268,16.1,4.7,5.6,5.6,3.9,No
ASASSN-14jc,untargeted,0.0113,56955.6,0.57,0.914,0.04,0.135,1,ASAS14jc_20141105_fire,2014-11-05,56966.34,10.62151678,1521.6,60.7,36.1,46.3,46.3,38.6,No
ASASSN-14jg,untargeted,0.0148,56960.74,0.56,1.3,0.043,0.013,4,ASAS14jg_20141105_fire,2014-11-05,56966.17,5.348256618,1014.4,46.1,41.4,29.7,29.7,31.1,No
ASASSN-14jg,untargeted,0.0148,56960.74,0.56,1.3,0.043,0.013,4,ASAS14jg_20141208_fire,2014-12-08,56999.01,37.71562362,480,59.8,36.8,33.2,33.2,20.2,No
ASASSN-14jg,untargeted,0.0148,56960.74,0.56,1.3,0.043,0.013,4,ASAS14jg_20141214_fire,2014-12-14,57005.06,43.67440584,507.2,44.4,23.4,20,20,12.2,No
ASASSN-14jg,untargeted,0.0148,56960.74,0.56,1.3,0.043,0.013,4,ASAS14jg_20150114_fire,2015-01-14,57036.04,74.20357729,1902,24.3,6.8,11,11,7.4,No
ASASSN-14lo,untargeted,0.0199,57001.7,0.6,0.95,0.044,0.028,1,ASAS14lo_20141214_fire,2014-12-14,57005.33,3.559963114,507.2,16.1,12.3,6.4,6.4,6.7,No
